course_code,course_name,professor,is_online
RGC0018-07,자아와명상2,조서호(법명),False
RGC0018-08,자아와명상2,하영수(진본),False
RGC0018-09,자아와명상2,이동하(동하),False
RGC0018-10,자아와명상2,김종욱(원충),False
RGC0018-11,자아와명상2,이동하(동하),False
RGC0018-12,자아와명상2,김종욱(원충),False
RGC0018-13,자아와명상2,조서호(법명),False
RGC0018-14,자아와명상2,신둘연(현봉),False
RGC0018-15,자아와명상2,김근행(원상),False
RGC0018-16,자아와명상2,정주영(효림),False
RGC0018-17,자아와명상2,김수덕(서암),False
RGC0018-18,자아와명상2,하영수(진본),False
RGC0018-19,자아와명상2,신둘연(현봉),False
RGC0018-20,자아와명상2,김수덕(서암),False
RGC0018-21,자아와명상2,하영수(진본),False
RGC0018-22,자아와명상2,신둘연(현봉),False
RGC0018-23,자아와명상2,신둘연(현봉),False
RGC0018-24,자아와명상2,김창하(청목),False
RGC0018-25,자아와명상2,홍영길(정헌),False
RGC0018-26,자아와명상2,정주영(효림),False
RGC0018-27,자아와명상2,김창하(청목),False
RGC0018-28,자아와명상2,정주영(효림),False
RGC0018-29,자아와명상2,김근행(원상),False
RGC0018-30,자아와명상2,이견명(견명),False
RGC0018-31,자아와명상2,홍영길(정헌),False
RGC0018-32,자아와명상2,김근행(원상),False
RGC0018-33,자아와명상2,이견명(견명),False
RGC0018-34,자아와명상2,홍영길(정헌),False
RGC0018-35,자아와명상2,김근행(원상),False
RGC0018-36,자아와명상2,홍영길(정헌),False
RGC0018-37,자아와명상2,천윤성(윤성),False
RGC0018-38,자아와명상2,홍영길(정헌),False
RGC0018-39,자아와명상2,천윤성(윤성),False
RGC0018-40,자아와명상2,홍영길(정헌),False
RGC0018-41,자아와명상2,이견명(견명),False
RGC0018-42,자아와명상2,김창하(청목),False
RGC0018-43,자아와명상2,김흥빈(지광),False
RGC0018-44,자아와명상2,이견명(견명),False
RGC0018-45,자아와명상2,김흥빈(지광),False
RGC0018-46,자아와명상2,이견명(견명),False
RGC0018-47,자아와명상2,장완순(행범),False
RGC0018-48,자아와명상2,이병진(덕림),False
RGC0018-49,자아와명상2,장완순(행범),False
RGC0018-50,자아와명상2,이병진(덕림),False
RGC0018-51,자아와명상2,공숙자(보희),False
RGC0018-52,자아와명상2,공숙자(보희),False
RGC0018-53,자아와명상2,김흥빈(지광),False
RGC0018-55,자아와명상2,공숙자(보희),False
RGC0018-56,자아와명상2,공숙자(보희),False
RGC0018-57,자아와명상2,정주영(효림),False
RGC0018-58,자아와명상2,김근행(원상),False
RGC0018-59,자아와명상2,정주영(효림),False
RGC0018-60,자아와명상2,장완순(행범),False
RGC0018-61,자아와명상2,공숙자(보희),False
RGC1074-01,커리어 디자인,이소은,False
RGC1074-02,커리어 디자인,이준일,False
RGC1074-03,커리어 디자인,이소은,False
RGC1074-04,커리어 디자인,문재영,False
RGC1074-05,커리어 디자인,우혜인,False
RGC1074-06,커리어 디자인,우혜인,False
RGC1074-07,커리어 디자인,심태은,False
RGC1074-08,커리어 디자인,송혜령,False
RGC1074-09,커리어 디자인,김수현,False
RGC1074-10,커리어 디자인,박소연,False
RGC1074-11,커리어 디자인,송혜령,False
RGC1074-12,커리어 디자인,박소연,False
RGC1074-13,커리어 디자인,이준일,False
RGC1074-14,커리어 디자인,박소연,False
RGC1074-15,커리어 디자인,박소연,False
RGC1074-16,커리어 디자인,송혜령,False
RGC1074-17,커리어 디자인,김수현,False
RGC1074-18,커리어 디자인,문재영,False
RGC1074-19,커리어 디자인,강창호,False
RGC1074-20,커리어 디자인,강창호,False
RGC1074-21,커리어 디자인,강창호,False
RGC1074-22,커리어 디자인,이준일,False
RGC1074-23,커리어 디자인,이준일,False
RGC1074-24,커리어 디자인,송혜령,False
RGC1002-01,"소통,미디어,윤리",정수진,False
RGC1002-02,"소통,미디어,윤리",정수진,False
RGC1002-03,"소통,미디어,윤리",정수진,False
RGC1004-01,다문화사회의삶,임세화,False
RGC1004-02,다문화사회의삶,서은숙,False
RGC1004-03,다문화사회의삶,신현탁,False
RGC1005-01,"사랑,우정,관용",박연희,False
RGC1005-02,"사랑,우정,관용",박연희,False
RGC1005-03,"사랑,우정,관용",박연희,False
RGC1006-01,민주주의와시장경제,최위정,False
RGC1006-02,민주주의와시장경제,최위정,False
RGC1006-03,민주주의와시장경제,최위정,False
RGC0005-01,기술보고서작성및발표,오명원,False
RGC0005-02,기술보고서작성및발표,최현경,False
RGC0005-03,기술보고서작성및발표,오명원,False
RGC0005-04,기술보고서작성및발표,이재섭,False
RGC0005-05,기술보고서작성및발표,전용덕,False
RGC0005-06,기술보고서작성및발표,최수진,False
RGC0005-07,기술보고서작성및발표,전용덕,False
RGC0005-09,기술보고서작성및발표,최수진,False
RGC0005-11,기술보고서작성및발표,오명원,False
RGC1063-01,외국인을위한대학글쓰기,전영주,False
RGC1063-02,외국인을위한대학글쓰기,김은석,False
RGC1063-03,외국인을위한대학글쓰기,남궁윤,False
RGC1064-01,디지털시대의글쓰기,남진숙,False
RGC1064-02,디지털시대의글쓰기,이유기,False
RGC1064-03,디지털시대의글쓰기,하성란,False
RGC1064-04,디지털시대의글쓰기,김지오,False
RGC1064-05,디지털시대의글쓰기,김지오,False
RGC1064-06,디지털시대의글쓰기,이은정,False
RGC1064-07,디지털시대의글쓰기,이은정,False
RGC1064-08,디지털시대의글쓰기,정지아,False
RGC1064-09,디지털시대의글쓰기,김윤경,False
RGC1064-10,디지털시대의글쓰기,김윤경,False
RGC1064-11,디지털시대의글쓰기,김윤경,False
RGC1064-12,디지털시대의글쓰기,김지오,False
RGC1064-13,디지털시대의글쓰기,남진숙,False
RGC1064-14,디지털시대의글쓰기,김세연,False
RGC1064-15,디지털시대의글쓰기,심혜경,False
RGC1064-16,디지털시대의글쓰기,심혜경,False
RGC1064-17,디지털시대의글쓰기,이주영,False
RGC1064-18,디지털시대의글쓰기,전영주,False
RGC1064-19,디지털시대의글쓰기,김문정,False
RGC1064-20,디지털시대의글쓰기,남진숙,False
RGC1064-21,디지털시대의글쓰기,이은정,False
RGC1064-22,디지털시대의글쓰기,이유기,False
RGC1064-23,디지털시대의글쓰기,이유기,False
RGC1064-24,디지털시대의글쓰기,곽미라,False
RGC1064-25,디지털시대의글쓰기,이은정,False
RGC1064-26,디지털시대의글쓰기,김은석,False
RGC1064-27,디지털시대의글쓰기,오리사,False
RGC1064-28,디지털시대의글쓰기,이유기,False
RGC1064-29,디지털시대의글쓰기,장상지,False
RGC1064-30,디지털시대의글쓰기,장영섭,False
RGC1014-01,지혜와자비명작세미나,서정원,False
RGC1014-02,지혜와자비명작세미나,김성옥,False
RGC1014-03,지혜와자비명작세미나,김은영,False
RGC1014-04,지혜와자비명작세미나,권순범,False
