course_id,days,start_time,end_time,classroom
146,금,12:30,14:00,102-460(학술/문화관 K460 460 강의실)
147,화,12:00,13:30,102-441(학술/문화관 K441 441 강의실)
147,목,12:00,13:30,102-441(학술/문화관 K441 441 강의실)
148,화,13:30,15:00,102-245(학술/문화관 K245 245 강의실)
148,목,13:30,15:00,102-245(학술/문화관 K245 245 강의실)
149,월,12:30,14:00,207-625(혜화관  625 강의실)
149,수,12:00,13:30,207-625(혜화관  625 강의실)
150,월,14:00,15:30,202-174(사회과학/경영관 L101 강의실)
150,수,13:30,15:00,202-174(사회과학/경영관 L101 강의실)
151,월,15:30,17:00,207-304(혜화관 304 304 강의실)
151,수,15:00,16:30,207-304(혜화관 304 304 강의실)
152,화,12:00,13:30,102-462(학술/문화관 K462 462 강의실)
152,목,12:00,13:30,102-462(학술/문화관 K462 462 강의실)
153,화,10:30,12:00,102-458(학술/문화관 K458 458 강의실)
153,목,10:30,12:00,102-458(학술/문화관 K458 458 강의실)
154,월,14:00,15:30,207-625(혜화관  625 강의실)
154,수,14:00,15:30,207-625(혜화관  625 강의실)
155,화,12:00,13:30,207-514(혜화관 514 514 강의실)
155,목,12:00,13:30,207-514(혜화관 514 514 강의실)
156,화,14:00,15:30,207-514(혜화관 514 514 강의실)
156,목,14:00,15:30,207-514(혜화관 514 514 강의실)
157,화,16:00,17:30,207-514(혜화관 514 514 강의실)
157,목,16:30,18:00,207-514(혜화관 514 514 강의실)
158,월,18:00,20:30,102-352(학술/문화관 K352 352 강의실)
159,수,18:00,20:30,307-236(명진관 A236 강의실)
160,화,18:00,20:30,307-236(명진관 A236 강의실)
161,월,12:00,13:30,102-462(학술/문화관 K462 462 강의실)
161,수,11:00,12:30,102-462(학술/문화관 K462 462 강의실)
162,화,12:00,13:30,407-121(정보문화관P P305 강의실_스마트)
162,목,12:00,13:30,407-121(정보문화관P P305 강의실_스마트)
163,화,12:00,13:30,102-217(학술/문화관 K217 217 강의실)
163,목,12:00,13:30,102-217(학술/문화관 K217 217 강의실)
164,화,16:00,17:30,201-111(사회과학/경영관 M111 강의실)
164,목,16:30,18:00,201-111(사회과학/경영관 M111 강의실)
165,수,16:00,17:30,202-387(사회과학/경영관 L305 강의실)
165,금,16:00,17:30,202-387(사회과학/경영관 L305 강의실)
166,월,12:00,13:30,201-226(사회과학/경영관 M216 강의실)
166,수,11:00,12:30,201-226(사회과학/경영관 M216 강의실)
167,화,12:00,13:30,307-333(명진관 A333 강의실)
167,목,12:00,13:30,307-333(명진관 A333 강의실)
168,수,11:00,13:00,501-203(학림관 J212 강의실)
169,화,14:00,15:30,501-413(학림관 J414 강의실)
169,목,14:00,15:30,501-413(학림관 J414 강의실)
170,화,12:00,13:30,501-413(학림관 J414 강의실)
170,목,12:00,13:30,501-413(학림관 J414 강의실)
171,월,12:30,14:00,201-111(사회과학/경영관 M111 강의실)
171,수,11:00,12:30,201-111(사회과학/경영관 M111 강의실)
172,화,14:00,17:00,1104-227(상영바이오관 227 강의실_스마트)
173,화,16:00,17:30,407-B108(정보문화관P P203 강의실)
173,목,16:30,18:00,407-B108(정보문화관P P203 강의실)
174,화,16:00,17:30,102-454(학술/문화관 K454 454 강의실)
174,목,16:30,18:00,102-454(학술/문화관 K454 454 강의실)
177,화,12:00,13:30,407-106(정보문화관P P303 정보 PBL_스마트)
177,목,12:00,13:30,407-106(정보문화관P P303 정보 PBL_스마트)
178,월,12:00,13:30,407-B108(정보문화관P P203 강의실)
178,수,11:00,12:30,407-B108(정보문화관P P203 강의실)
179,수,14:00,16:00,501-250(학림관 J211 강의실_스마트)
180,화,14:00,16:00,501-415(학림관 J415 강의실)
181,월,16:00,17:30,102-219(학술/문화관 K219 219 강의실)
181,수,14:00,15:30,102-219(학술/문화관 K219 219 강의실)
182,화,12:00,13:30,202-378(사회과학/경영관 L302 강의실)
182,목,12:00,13:30,202-378(사회과학/경영관 L302 강의실)
183,수,16:00,17:30,202-378(사회과학/경영관 L302 강의실)
183,금,16:00,17:30,202-378(사회과학/경영관 L302 강의실)
184,화,16:00,17:30,102-361(학술/문화관 K361 361 강의실)
184,목,16:30,18:00,102-361(학술/문화관 K361 361 강의실)
185,화,16:00,17:30,407-B101(정보문화관P P201 강의실)
185,목,16:30,18:00,407-B101(정보문화관P P201 강의실)
186,화,12:00,13:30,102-237(학술/문화관 K237 237 강의실)
186,목,12:00,13:30,102-237(학술/문화관 K237 237 강의실)
187,월,12:00,13:30,102-221(학술/문화관 K221 221 강의실)
187,수,11:00,12:30,102-221(학술/문화관 K221 221 강의실)
188,월,12:00,13:30,303-259(법학/만해관 B258 강의실)
188,화,12:00,13:30,303-259(법학/만해관 B258 강의실)
189,월,12:00,13:30,102-361(학술/문화관 K361 361 강의실)
189,수,11:00,12:30,102-361(학술/문화관 K361 361 강의실)
190,화,12:00,13:30,102-219(학술/문화관 K219 219 강의실)
190,목,12:00,13:30,102-219(학술/문화관 K219 219 강의실)
191,월,14:00,15:30,201-226(사회과학/경영관 M216 강의실)
191,수,14:00,15:30,201-226(사회과학/경영관 M216 강의실)
